id,name,rank,averageRating,bggRating,numRatings,numOwned,weight,minPlayers,maxPlayers,minTime,maxTime,link
132028,Conflict of Heroes: Awakening the Bear! – Operation Barbarossa 1941 (Second Edition),675,7.97441,6.73664,1713,3598,3.2628,2,4,60,180,https://boardgamegeek.com/boardgame/132028
12891,Friedrich,676,7.54749,6.73638,2508,3301,3.1524,3,4,210,210,https://boardgamegeek.com/boardgame/12891
265402,In the Hall of the Mountain King,677,7.89064,6.73404,2018,3824,2.7759,2,5,75,90,https://boardgamegeek.com/boardgame/265402
156689,Legendary: A Marvel Deck Building Game – Villains,678,7.59477,6.7331,2542,5745,2.7067,1,5,45,45,https://boardgamegeek.com/boardgame/156689
119788,Hyperborea,679,7.21361,6.73253,4392,6380,3.1774,2,6,50,150,https://boardgamegeek.com/boardgame/119788
12902,Carcassonne: The City,680,7.20495,6.73014,4210,6349,2.2628,2,4,30,45,https://boardgamegeek.com/boardgame/12902
158435,Dogs of War,681,7.51914,6.72804,2530,3659,2.6593,3,5,75,75,https://boardgamegeek.com/boardgame/158435
82420,Summoner Wars: Guild Dwarves vs Cave Goblins,682,7.57823,6.72654,2328,5322,2.2353,2,4,30,30,https://boardgamegeek.com/boardgame/82420
45,Perudo,683,6.90347,6.72594,12599,16149,1.2621,2,6,15,30,https://boardgamegeek.com/boardgame/45
194879,Not Alone,684,7.01631,6.72466,7948,12264,1.9605,2,7,30,45,https://boardgamegeek.com/boardgame/194879
255692,New Frontiers,685,7.60599,6.72453,2186,3155,2.8615,2,5,45,75,https://boardgamegeek.com/boardgame/255692
51,Ricochet Robots,686,7.00466,6.72328,8014,8234,2.4153,1,99,30,30,https://boardgamegeek.com/boardgame/51
197443,Fugitive,687,7.22444,6.72307,3915,7714,1.6769,2,2,5,20,https://boardgamegeek.com/boardgame/197443
155362,Ca$h 'n Guns (Second Edition),688,6.89337,6.72106,12621,18388,1.2617,4,8,30,30,https://boardgamegeek.com/boardgame/155362
293141,King of Tokyo: Dark Edition,689,7.89657,6.72093,1843,5126,1.6471,2,6,30,30,https://boardgamegeek.com/boardgame/293141
175117,Celestia,690,6.98554,6.71972,8385,11149,1.3318,2,6,30,30,https://boardgamegeek.com/boardgame/175117
53953,Thunderstone,691,6.94118,6.718,10083,10611,2.5008,1,5,60,60,https://boardgamegeek.com/boardgame/53953
304420,Bonfire,692,7.98696,6.71725,1560,3157,3.6017,1,4,70,100,https://boardgamegeek.com/boardgame/304420
1041,San Marco,693,7.17164,6.71713,4241,4488,2.6834,3,4,90,90,https://boardgamegeek.com/boardgame/1041
2181,Bridge,694,7.45941,6.71694,2891,1852,3.8552,4,4,60,60,https://boardgamegeek.com/boardgame/2181
204516,878 Vikings: Invasions of England,695,7.54989,6.71688,2489,4955,2.6374,2,4,60,120,https://boardgamegeek.com/boardgame/204516
1345,Genoa,696,7.07146,6.71593,5909,7297,3.0828,2,5,60,120,https://boardgamegeek.com/boardgame/1345
151004,Smash Up: Science Fiction Double Feature,697,7.29693,6.71549,3679,11692,2.3026,2,2,30,45,https://boardgamegeek.com/boardgame/151004
8125,Santiago,698,7.1166,6.7146,4821,4417,2.4898,3,5,75,75,https://boardgamegeek.com/boardgame/8125
26566,Homesteaders,699,7.24231,6.71445,3482,4051,3.0441,2,4,60,90,https://boardgamegeek.com/boardgame/26566
9440,Maharaja: The Game of Palace Building in India,700,7.12514,6.71416,4872,5518,3.1737,2,5,90,90,https://boardgamegeek.com/boardgame/9440
129948,The Palaces of Carrara,701,7.17995,6.71411,4064,4323,2.6164,2,4,60,60,https://boardgamegeek.com/boardgame/129948
26990,Container,702,7.1482,6.70984,4379,3051,3.2467,3,5,60,90,https://boardgamegeek.com/boardgame/26990
65901,Age of Industry,703,7.37149,6.70973,2857,3317,3.3647,2,5,120,120,https://boardgamegeek.com/boardgame/65901
29368,Last Night on Earth: The Zombie Game,704,6.94209,6.70932,13531,18055,2.2939,2,6,60,90,https://boardgamegeek.com/boardgame/29368
122298,Morels,705,7.00434,6.70792,7286,12495,1.7393,2,2,30,30,https://boardgamegeek.com/boardgame/122298
218333,Rhino Hero: Super Battle,706,7.27701,6.70743,3461,6671,1.12,2,4,10,20,https://boardgamegeek.com/boardgame/218333
154458,Akrotiri,707,7.25046,6.70644,3630,6032,2.6603,2,2,45,45,https://boardgamegeek.com/boardgame/154458
148319,Tragedy Looper,708,7.22448,6.70608,3973,8086,3.5134,2,4,120,120,https://boardgamegeek.com/boardgame/148319
108784,Ascension: Storm of Souls,709,7.30598,6.70547,3378,5272,2.3355,1,4,30,30,https://boardgamegeek.com/boardgame/108784
177678,Signorie,710,7.42864,6.70494,2633,3135,3.5548,2,4,90,120,https://boardgamegeek.com/boardgame/177678
27976,Heroscape Master Set: Swarm of the Marro,711,7.61852,6.70409,2266,4650,2.2478,2,4,60,60,https://boardgamegeek.com/boardgame/27976
13642,Louis XIV,712,7.066,6.7028,5343,6403,3.0055,2,4,75,100,https://boardgamegeek.com/boardgame/13642
214887,CO₂: Second Chance,713,7.65844,6.70154,2117,5209,4.0429,1,4,60,120,https://boardgamegeek.com/boardgame/214887
37380,Roll Through the Ages: The Bronze Age,714,6.87279,6.70136,11490,12907,1.7782,1,4,30,45,https://boardgamegeek.com/boardgame/37380
198830,"Heroes of Land, Air & Sea",715,7.70728,6.70114,2142,4322,3.2533,1,4,120,180,https://boardgamegeek.com/boardgame/198830
98351,Core Worlds,716,7.17692,6.69982,3972,4936,2.8937,2,5,60,120,https://boardgamegeek.com/boardgame/98351
295486,My City,717,7.87477,6.69884,1686,4452,2.1207,2,4,30,30,https://boardgamegeek.com/boardgame/295486
491,Web of Power,718,7.29898,6.69836,3350,3182,2.4467,3,5,50,60,https://boardgamegeek.com/boardgame/491
